country,country,country,country,country,22.01.2020,23.01.2020,24.01.2020,25.01.2020,26.01.2020,27.01.2020,28.01.2020,29.01.2020,30.01.2020,31.01.2020,01.02.2020,02.02.2020,03.02.2020,04.02.2020,05.02.2020,06.02.2020,07.02.2020,08.02.2020,09.02.2020,10.02.2020,11.02.2020,12.02.2020,13.02.2020,14.02.2020,15.02.2020,16.02.2020,17.02.2020,18.02.2020,19.02.2020,20.02.2020,21.02.2020,22.02.2020,23.02.2020,24.02.2020,25.02.2020,26.02.2020,27.02.2020,28.02.2020,29.02.2020,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,22.01.2020,23.01.2020,24.01.2020,25.01.2020,26.01.2020,27.01.2020,28.01.2020,29.01.2020,30.01.2020,31.01.2020,01.02.2020,02.02.2020,03.02.2020,04.02.2020,05.02.2020,06.02.2020,07.02.2020,08.02.2020,09.02.2020,10.02.2020,11.02.2020,12.02.2020,13.02.2020,14.02.2020,15.02.2020,16.02.2020,17.02.2020,18.02.2020,19.02.2020,20.02.2020,21.02.2020,22.02.2020,23.02.2020,24.02.2020,25.02.2020,26.02.2020,27.02.2020,28.02.2020,29.02.2020,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,22.01.2020,23.01.2020,24.01.2020,25.01.2020,26.01.2020,27.01.2020,28.01.2020,29.01.2020,30.01.2020,31.01.2020,01.02.2020,02.02.2020,03.02.2020,04.02.2020,05.02.2020,06.02.2020,07.02.2020,08.02.2020,09.02.2020,10.02.2020,11.02.2020,12.02.2020,13.02.2020,14.02.2020,15.02.2020,16.02.2020,17.02.2020,18.02.2020,19.02.2020,20.02.2020,21.02.2020,22.02.2020,23.02.2020,24.02.2020,25.02.2020,26.02.2020,27.02.2020,28.02.2020,29.02.2020,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020
Russia,Russia,Russia,Russia,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,2.042524154618316e-08,2.042524154618316e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,2.042524154618316e-08,2.042524154618316e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,1.361682769745544e-08,2.042524154618316e-08,2.042524154618316e-08
Germany,Germany,Germany,Germany,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.4477541713417063e-07,1.4477541713417063e-07,1.4477541713417063e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.8096927141771328e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,2.050985076067417e-07,2.1716312570125593e-07,2.1716312570125593e-07,2.1716312570125593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.4477541713417063e-07,1.4477541713417063e-07,1.4477541713417063e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.8096927141771328e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,2.050985076067417e-07,2.1716312570125593e-07,2.1716312570125593e-07,2.1716312570125593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.2064618094514217e-08,1.4477541713417063e-07,1.4477541713417063e-07,1.4477541713417063e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.6890465332319905e-07,1.8096927141771328e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,1.9303388951222748e-07,2.050985076067417e-07,2.1716312570125593e-07,2.1716312570125593e-07,2.1716312570125593e-07
France,France,France,France,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968592293534406e-08,2.968592293534406e-08,2.968592293534406e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968592293534406e-08,2.968592293534406e-08,2.968592293534406e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968592293534406e-08,2.968592293534406e-08,2.968592293534406e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,5.937184587068812e-08,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.6327257614439234e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07,1.7811553761206436e-07
UK,UK,UK,UK,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,2.709392787445878e-07,2.709392787445878e-07,2.709392787445878e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,2.709392787445878e-07,2.709392787445878e-07,2.709392787445878e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.50521821524771e-08,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,1.204174572198168e-07,2.709392787445878e-07,2.709392787445878e-07,2.709392787445878e-07
Italy,Italy,Italy,Italy,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6558879401018968e-08,3.3117758802037936e-08,1.6558879401018968e-08,1.6558879401018968e-08,4.9676638203056905e-08,7.451495730458535e-07,7.617084524468725e-07,7.617084524468725e-07,1.3743869902845742e-06,2.4672730307518263e-06,2.649420704163035e-06,4.5702507146812345e-06,6.855376072021853e-06,8.66029392673292e-06,9.753179967200172e-06,1.0299622987433797e-05,1.1988628686337731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6558879401018968e-08,3.3117758802037936e-08,1.6558879401018968e-08,1.6558879401018968e-08,4.9676638203056905e-08,7.451495730458535e-07,7.617084524468725e-07,7.617084524468725e-07,1.3743869902845742e-06,2.4672730307518263e-06,2.649420704163035e-06,4.5702507146812345e-06,6.855376072021853e-06,8.66029392673292e-06,9.753179967200172e-06,1.0299622987433797e-05,1.1988628686337731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6558879401018968e-08,3.3117758802037936e-08,1.6558879401018968e-08,1.6558879401018968e-08,4.9676638203056905e-08,7.451495730458535e-07,7.617084524468725e-07,7.617084524468725e-07,1.3743869902845742e-06,2.4672730307518263e-06,2.649420704163035e-06,4.5702507146812345e-06,6.855376072021853e-06,8.66029392673292e-06,9.753179967200172e-06,1.0299622987433797e-05,1.1988628686337731e-05
Spain,Spain,Spain,Spain,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,6.419441423859497e-07,6.419441423859497e-07,6.84740418545013e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,6.419441423859497e-07,6.419441423859497e-07,6.84740418545013e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,4.2796276159063315e-08,6.419441423859497e-07,6.419441423859497e-07,6.84740418545013e-07
Poland,Poland,Poland,Poland,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,Romania,Romania,Romania,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12200067805045e-08,5.12200067805045e-08,5.12200067805045e-08,1.536600203415135e-07,1.536600203415135e-07,1.536600203415135e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12200067805045e-08,5.12200067805045e-08,5.12200067805045e-08,1.536600203415135e-07,1.536600203415135e-07,1.536600203415135e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12200067805045e-08,5.12200067805045e-08,5.12200067805045e-08,1.536600203415135e-07,1.536600203415135e-07,1.536600203415135e-07
Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
