country,France,Italy,Spain,US,United Kingdom
22.01.2020,0.0,0.0,0.0,0.0,0.0
23.01.2020,0.0,0.0,0.0,0.0,0.0
24.01.2020,0.0,0.0,0.0,10,0.0
25.01.2020,7.142857142857143,0.0,0.0,10,0.0
26.01.2020,7.142857142857143,0.0,0.0,10,0.0
27.01.2020,7.142857142857143,0.0,0.0,10,0.0
28.01.2020,10,0.0,0.0,10,0.0
29.01.2020,10,0.0,0.0,10,0.0
30.01.2020,10,0.0,0.0,10,0.0
31.01.2020,10,0.0,0.0,10,0.0
01.02.2020,10,0.0,0.0,10,0.0
02.02.2020,10,0.0,0.0,7.61904761904762,0.0
03.02.2020,10,0.0,0.0,10,10
04.02.2020,6.428571428571429,0.0,0.0,10,10
05.02.2020,2.857142857142859,0.0,0.0,10,10
06.02.2020,2.857142857142859,0.0,0.0,10,10
07.02.2020,2.857142857142859,7.142857142857141,0.0,6.655844155844155,10
08.02.2020,10,7.142857142857141,0.0,6.655844155844155,10
09.02.2020,10,7.142857142857141,10,6.655844155844155,10
10.02.2020,10,7.142857142857141,10,1.2987012987012976,9.233821733821731
11.02.2020,10,7.142857142857141,10,2.4891774891774907,10
12.02.2020,10,7.142857142857141,10,2.4891774891774907,9.420896563753706
13.02.2020,10,7.142857142857141,10,2.2893772893772923,10
14.02.2020,10,0.0,10,2.2893772893772923,10
15.02.2020,1.298701298701298,0.0,10,2.2893772893772923,4.8048834918582815
16.02.2020,1.298701298701298,0.0,0.0,2.2893772893772923,3.7059823929571842
17.02.2020,1.298701298701298,0.0,0.0,2.2893772893772923,4.4996331866079755
18.02.2020,1.298701298701298,0.0,0.0,1.0989010989010992,3.4792250233426687
19.02.2020,1.298701298701298,0.0,0.0,1.0989010989010992,3.2787237702098366
20.02.2020,1.298701298701298,0.0,0.0,0.0,3.814438055924127
21.02.2020,1.298701298701298,10,0.0,2.04081632653061,3.6234525708209913
22.02.2020,0.0,10,0.0,2.04081632653061,3.6234525708209913
23.02.2020,0.0,10,0.0,2.04081632653061,6.729042632932793
24.02.2020,0.0,10,0.0,2.04081632653061,6.955800002547307
25.02.2020,2.3809523809523796,10,10,2.04081632653061,8.86056190730921
26.02.2020,6.462585034013605,10,10,2.04081632653061,9.369186409741761
27.02.2020,10,10,10,2.9336734693877533,10
28.02.2020,10,10,10,0.8928571428571432,10
29.02.2020,10,10,10,7.615546218487394,10
01.03.2020,10,10,10,10,10
02.03.2020,10,10,10,10,10
03.03.2020,10,10,10,10,10
04.03.2020,10,10,10,10,10
05.03.2020,10,10,10,10,10
06.03.2020,10,10,10,10,10
07.03.2020,10,10,10,10,10
08.03.2020,10,10,10,10,10
09.03.2020,10,10,10,10,10
10.03.2020,10,10,10,10,10
11.03.2020,10,10,10,10,10
12.03.2020,10,10,10,10,10
13.03.2020,10,10,10,10,10
14.03.2020,10,10,10,10,10
15.03.2020,10,10,10,10,10
16.03.2020,10,10,10,10,10
17.03.2020,10,10,10,10,10
18.03.2020,10,10,10,10,10
19.03.2020,10,10,10,10,10
20.03.2020,10,10,10,10,10
21.03.2020,10,10,10,10,10
22.03.2020,10,10,10,10,10
23.03.2020,10,10,10,10,10
24.03.2020,10,10,10,10,10
25.03.2020,10,10,10,10,10
26.03.2020,10,10,10,10,10
27.03.2020,10,9.119125394375576,10,10,10
28.03.2020,10,8.113651810108417,10,10,10
29.03.2020,10,7.437125246367678,10,10,10
30.03.2020,10,6.872525476696508,10,10,10
31.03.2020,10,6.268639043296896,10,10,10
01.04.2020,10,5.8384500065528275,10,10,10
02.04.2020,10,5.250260364218301,9.940052209440873,10,10
03.04.2020,10,4.771162936583869,8.888296446559332,10,10
04.04.2020,4.296438001476897,4.357367165838469,8.089718547045155,10,10
05.04.2020,3.565903012848083,4.046122494018795,7.368895981198237,10,10
06.04.2020,2.811774896170331,3.852585050130339,6.515475992072558,10,10
07.04.2020,-0.611166715689448,3.611020559355689,5.772008763410014,10,9.30159686913008
08.04.2020,-0.7728162709365208,3.3694505725444697,5.183383410591023,10,8.495205032231556
09.04.2020,-0.24370702185715867,3.1971218296611426,4.575101592472733,9.237165209723676,7.789625491173918
10.04.2020,-1.0974893487627995,3.0217376136715077,4.1366124016588595,8.46758314238127,7.090456246173031
11.04.2020,3.052101894655519,2.9032754375395746,3.7304903037130765,7.7209468677577515,6.59856433372448
12.04.2020,10,2.7924638671975655,3.4435654299222658,7.130387195649974,6.262635746754321
13.04.2020,10,2.681808744461769,3.17767618351368,6.517006326771475,5.656780967414444
14.04.2020,10,2.6204322252797803,2.83224290964738,6.078960245063381,5.1179576027116225
15.04.2020,10,2.4507395569692747,2.62290356721628,5.604466075767443,4.807099671431104
16.04.2020,10,2.3474661207032383,2.7281722401304047,5.100508541937245,4.609801254640098
17.04.2020,10,2.2498505550443277,2.7122716160506712,4.781723032384534,4.487836582003084
18.04.2020,10,2.0846834524660682,2.3495743045299062,4.525612124498052,4.463337178553656
19.04.2020,5.007840290063531,1.9482083093289222,2.5339408493407385,4.329392435577866,4.354542347916433
20.04.2020,4.825438053967644,1.8402184063113378,2.36454903057079,4.217800566890903,4.264710490066267
21.04.2020,2.8452616598105758,1.789175829686613,2.4425896652605794,4.001186670857573,4.148526963059241
22.04.2020,2.6547813979762864,1.816404098413163,2.3147122671653753,3.919426914499945,4.014682158663568
23.04.2020,1.1458853546432464,1.6907057090253397,2.0450853697044082,3.8064307004916214,3.825145415727166
24.04.2020,1.2153138112375061,1.622511459637811,0.917158652988212,3.6201336925055125,3.678782546079321
25.04.2020,0.995628262518004,1.5077598549268765,1.0559074586679575,3.550919649812894,3.4612752810309053
26.04.2020,0.9479744305644545,1.4302834881280089,0.6581626006664275,3.459777729935195,3.329702257078492
27.04.2020,1.042408377306096,1.3758826953499688,0.6736932202147281,3.2520431549889275,3.201519149831436
28.04.2020,1.0653329398106213,1.3105590334789434,0.4797687935585277,3.1398371969704084,3.0946708446671356
29.04.2020,0.7787884285031529,1.1967390601315966,0.33045335917566243,2.9949479091802504,2.978452155055804
30.04.2020,1.0362579296606365,1.1263086712088937,0.047465016049028384,2.8600818993612442,2.8667591925441385
